oversampler,model,train_size,train_f1,valid_f1,f1_gap
random_oversampling,random_forest,86,0.7988304093567251,0.38319264083602605,0.41563776852069906
random_oversampling,random_forest,173,0.878832109299522,0.5052915676257138,0.37354054167380824
random_oversampling,random_forest,260,0.8724896773997267,0.5438179523127576,0.32867172508696907
random_oversampling,random_forest,347,0.9569456160877603,0.7874921271029466,0.16945348898481372
random_oversampling,random_forest,434,0.9187088685862144,0.8184831400238052,0.10022572856240919
random_oversampling,random_forest,520,0.8591553984583736,0.9050891101176175,-0.04593371165924387
random_oversampling,random_forest,607,0.9256144957262677,0.935468451468125,-0.009853955741857212
random_oversampling,random_forest,694,0.948147864223962,0.9493034349432644,-0.00115557071930239
random_oversampling,random_forest,781,0.9454984405061232,0.9392519896346366,0.006246450871486564
random_oversampling,random_forest,868,0.9449114494186727,0.9346445545519148,0.010266894866757914
random_oversampling,logistic_regression,86,1.0,0.5221332507141524,0.4778667492858476
random_oversampling,logistic_regression,173,1.0,0.7434086574022511,0.25659134259774885
random_oversampling,logistic_regression,260,0.990712627254867,0.8297214180996233,0.16099120915524368
random_oversampling,logistic_regression,347,1.0,0.9279431769688579,0.07205682303114214
random_oversampling,logistic_regression,434,0.9846540004471077,0.9499489863857861,0.03470501406132165
random_oversampling,logistic_regression,520,0.9972200050722548,0.9861882061016842,0.011031798970570605
random_oversampling,logistic_regression,607,0.9983844960535503,0.9871104525209148,0.011274043532635503
random_oversampling,logistic_regression,694,0.9987704104738112,0.9871104525209148,0.011659957952896427
random_oversampling,logistic_regression,781,0.9989629496195761,0.9871104525209148,0.011852497098661319
random_oversampling,logistic_regression,868,0.9990783397905293,0.9871104525209148,0.011967887269614508
random_oversampling,decision_tree,86,1.0,0.5116168506144125,0.48838314938558747
random_oversampling,decision_tree,173,0.7171051970948159,0.6013678622471342,0.11573733484768167
random_oversampling,decision_tree,260,0.5580852963104171,0.7521716482510403,-0.19408635194062318
random_oversampling,decision_tree,347,0.6142210581402721,0.8663358736238399,-0.25211481548356784
random_oversampling,decision_tree,434,0.6035455652604307,0.8915161043473058,-0.2879705390868751
random_oversampling,decision_tree,520,0.8377226241665147,0.9268346388339903,-0.08911201466747565
random_oversampling,decision_tree,607,0.8923134022560208,0.9268346388339903,-0.03452123657796946
random_oversampling,decision_tree,694,0.9139917419924724,0.9268346388339903,-0.012842896841517959
random_oversampling,decision_tree,781,0.9256278009096605,0.9268346388339903,-0.001206837924329851
random_oversampling,decision_tree,868,0.9312490676660456,0.9268346388339903,0.004414428832055339
smote,random_forest,86,0.7988304093567251,0.33333207487808714,0.465498334478638
smote,random_forest,173,0.878832109299522,0.3393084246153065,0.5395236846842155
smote,random_forest,260,0.8724896773997267,0.3433575732247823,0.5291321041749444
smote,random_forest,347,0.9569456160877603,0.42009069538995486,0.5368549206978055
smote,random_forest,434,0.9187088685862144,0.3950572741561902,0.5236515944300242
smote,random_forest,520,0.8005874372489176,0.8808524405623356,-0.08026500331341802
smote,random_forest,607,0.857624735096796,0.8972358285061894,-0.039611093409393394
smote,random_forest,694,0.8801284063354722,0.8880066932287566,-0.007878286893284403
smote,random_forest,781,0.8945683292775616,0.8936190895731787,0.000949239704382876
smote,random_forest,868,0.9008179930791786,0.892803780038002,0.008014213041176665
smote,logistic_regression,86,1.0,0.3574130632193404,0.6425869367806596
smote,logistic_regression,173,1.0,0.36900872939563534,0.6309912706043647
smote,logistic_regression,260,1.0,0.4056949534574513,0.5943050465425487
smote,logistic_regression,347,1.0,0.4131868734841948,0.5868131265158052
smote,logistic_regression,434,1.0,0.4131868734841948,0.5868131265158052
smote,logistic_regression,520,1.0,0.9417793851263742,0.05822061487362584
smote,logistic_regression,607,1.0,0.9371172572219034,0.06288274277809658
smote,logistic_regression,694,1.0,0.9361868600846975,0.06381313991530246
smote,logistic_regression,781,1.0,0.9371107059763417,0.06288929402365828
smote,logistic_regression,868,1.0,0.9361694343623956,0.06383056563760436
smote,decision_tree,86,1.0,0.3574130632193404,0.6425869367806596
smote,decision_tree,173,0.7171051970948159,0.43619166795642217,0.28091352913839374
smote,decision_tree,260,0.5580852963104171,0.6700112698058232,-0.111925973495406
smote,decision_tree,347,0.6142210581402721,0.7626047180395211,-0.14838365989924907
smote,decision_tree,434,0.6035455652604307,0.7673240256772124,-0.16377846041678168
smote,decision_tree,520,0.6821291998565757,0.8253604978954343,-0.1432312980388586
smote,decision_tree,607,0.7660835430650114,0.8350351089890371,-0.06895156592402574
smote,decision_tree,694,0.8042762215948909,0.8406312717651355,-0.03635505017024465
smote,decision_tree,781,0.8284534107209325,0.8435068352607986,-0.015053424539866134
smote,decision_tree,868,0.8422024704466547,0.8435068352607986,-0.0013043648141438657
adasyn,random_forest,87,0.8655038366629484,0.33271920717319486,0.5327846294897536
adasyn,random_forest,174,0.8788388895931044,0.3387557479827418,0.5400831416103626
adasyn,random_forest,261,0.8590043978403065,0.34654019369898686,0.5124642041413197
adasyn,random_forest,348,0.9725989963918771,0.38608946350608053,0.5865095328857965
adasyn,random_forest,435,0.8991521619762984,0.37710596199215646,0.5220461999841419
adasyn,random_forest,522,0.813019585328987,0.833394847848056,-0.02037526251906896
adasyn,random_forest,609,0.8626635186041435,0.8359193072799759,0.0267442113241676
adasyn,random_forest,696,0.8876602247029461,0.8591442053464353,0.028516019356510824
adasyn,random_forest,783,0.8849083716651858,0.8794237086337102,0.005484663031475545
adasyn,random_forest,871,0.8875674855275184,0.8802677814613317,0.007299704066186741
adasyn,logistic_regression,87,1.0,0.36173294032179204,0.638267059678208
