oversampler,model,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_f1_orig,cv_roc_auc_orig,train_f1,test_f1,f1_gap,train_roc_auc,test_roc_auc,roc_auc_gap,pr_auc,no_precision,no_recall,no_f1,yes_precision,yes_recall,yes_f1,test_imbalanced_f1,test_imbalanced_roc_auc,test_imbalanced_no_f1,holdout_f1,holdout_roc_auc,holdout_no_f1,confusion_matrix
random_oversampling,random_forest,0.9343444003642978,0.039530531599532896,0.9880162965830637,0.009617375823052894,0.783296094857965,0.9673512008353636,0.8950998893733324,0.8806937778900396,0.01440611148329285,0.8951612903225807,0.8807339449541284,0.01442734536845236,0.9832489225140966,0.8952380952380953,0.8623853211009175,0.8785046728971962,0.8672566371681416,0.8990825688073395,0.8828828828828829,0.5689922480620155,0.778186274509804,0.2,0.6705985146352118,0.961764705882353,0.38095238095238093,"[[94, 15], [11, 98]]"
random_oversampling,logistic_regression,0.974653015220181,0.011264599236634289,1.0,4.965068306494546e-17,0.9321637426900585,0.9879411764705882,0.9988479247381616,0.9724561994609164,0.026391725277245204,0.9988479262672811,0.9724770642201834,0.02637086204709771,0.9995192408624269,0.9478260869565217,1.0,0.9732142857142857,1.0,0.944954128440367,0.9716981132075472,0.926726410121244,0.9963235294117647,0.8571428571428571,0.7216989514839168,0.9735294117647059,0.47058823529411764,"[[109, 0], [6, 103]]"
random_oversampling,decision_tree,0.9234439579902043,0.02224765759813337,0.9391265473919015,0.021224942208441035,0.5650929756404386,0.879616254785938,0.9328800362637655,0.9308653459904015,0.0020146902733639838,0.9331797235023042,0.9311926605504588,0.001987062951845364,0.9693226834799185,0.8790322580645161,1.0,0.9356223175965666,1.0,0.8623853211009175,0.9261083743842364,0.5332722832722833,0.7561274509803924,0.15384615384615385,0.6185531325718241,0.9441176470588235,0.2962962962962963,"[[109, 0], [15, 94]]"
smote,random_forest,0.8934671311534025,0.03307991769630504,0.9529881677712334,0.0189879772405301,0.783296094857965,0.9673512008353636,0.8617511520737328,0.8485441798774711,0.013206972196261657,0.8617511520737327,0.8486238532110091,0.013127298862723569,0.9553764048649437,0.8653846153846154,0.8256880733944955,0.8450704225352113,0.8333333333333334,0.8715596330275229,0.852017937219731,0.5692784417884019,0.9227941176470589,0.2222222222222222,0.6258958432871476,0.9470588235294117,0.3076923076923077,"[[90, 19], [14, 95]]"
smote,logistic_regression,0.9106299981426054,0.007740370107767138,0.9940516242814171,0.006902540309564753,0.9321637426900585,0.9879411764705882,1.0,0.9074781427722605,0.09252185722773953,1.0,0.908256880733945,0.09174311926605505,0.9940496545548023,0.8449612403100775,1.0,0.9159663865546218,1.0,0.8165137614678899,0.898989898989899,0.6435897435897436,0.9558823529411764,0.3333333333333333,0.5815295815295816,0.9264705882352942,0.24242424242424243,"[[109, 0], [20, 89]]"
smote,decision_tree,0.8360208041663519,0.03182269722700477,0.8460137279662762,0.032238445359016786,0.5650929756404386,0.879616254785938,0.8419673913043478,0.8548633034813049,-0.01289591217695707,0.8456221198156683,0.8577981651376148,-0.012176045321946494,0.9241810484476369,0.7785714285714286,1.0,0.8755020080321285,1.0,0.7155963302752294,0.8342245989304813,0.4790104947526237,0.8529411764705883,0.13043478260869565,0.4859829987339483,0.8558823529411765,0.14035087719298245,"[[109, 0], [31, 78]]"
adasyn,random_forest,0.8996453344521603,0.035643792364766336,0.9541363012085851,0.023653994053715554,0.783296094857965,0.9673512008353636,0.9044406992498596,0.9173198482932996,-0.012879149043440008,0.9045360596442018,0.9174311926605505,-0.012895133016348703,0.960195600411101,0.8888888888888888,0.9541284403669725,0.9203539823008849,0.9504950495049505,0.8807339449541285,0.9142857142857143,0.5516129032258065,0.9117647058823529,0.2,0.6336842105263157,0.95,0.32,"[[104, 5], [13, 96]]"
adasyn,logistic_regression,0.8918868455037334,0.016280289438588034,0.9925670756454293,0.005278055885354627,0.9321637426900585,0.9879411764705882,1.0,0.916864406779661,0.08313559322033903,1.0,0.9174311926605505,0.08256880733944949,0.9950969672900692,0.8582677165354331,1.0,0.923728813559322,1.0,0.8348623853211009,0.91,0.6327982117455802,0.9522058823529411,0.3157894736842105,0.5815295815295816,0.9264705882352942,0.24242424242424243,"[[109, 0], [18, 91]]"
adasyn,decision_tree,0.837479186823991,0.010772003944172954,0.8427598807671327,0.009711866611533771,0.5650929756404386,0.879616254785938,0.8422510920807924,0.8356842898675568,0.0065668022132355786,0.8456221198156681,0.8394495412844039,0.0061725785312642945,0.9056288459042933,0.7605633802816901,0.9908256880733946,0.8605577689243028,0.9868421052631579,0.6880733944954128,0.8108108108108109,0.4790104947526237,0.8529411764705883,0.13043478260869565,0.47638888888888886,0.8470588235294118,0.13333333333333333,"[[108, 1], [34, 75]]"
