Animal,ClusterID,Percentage
canid,1,0.8888888888888888
canid,2,0.4444444444444444
canid,4,4.444444444444445
canid,5,0.8888888888888888
canid,7,2.2222222222222223
canid,9,1.3333333333333335
canid,13,0.4444444444444444
canid,17,6.666666666666667
canid,25,0.4444444444444444
canid,27,0.4444444444444444
canid,31,0.4444444444444444
canid,32,0.4444444444444444
canid,35,1.3333333333333335
canid,38,0.8888888888888888
canid,39,1.3333333333333335
canid,41,0.8888888888888888
canid,43,1.3333333333333335
canid,46,0.4444444444444444
canid,48,1.7777777777777777
canid,49,1.3333333333333335
canid,51,1.7777777777777777
canid,56,0.8888888888888888
canid,57,0.4444444444444444
canid,59,0.4444444444444444
canid,60,0.8888888888888888
canid,62,0.4444444444444444
canid,68,0.4444444444444444
canid,71,0.4444444444444444
canid,77,0.4444444444444444
canid,79,0.4444444444444444
canid,80,0.4444444444444444
canid,82,0.4444444444444444
canid,86,4.444444444444445
canid,87,0.8888888888888888
canid,90,0.4444444444444444
canid,95,2.2222222222222223
canid,99,0.4444444444444444
canid,100,0.4444444444444444
canid,101,0.4444444444444444
canid,102,1.7777777777777777
canid,110,0.4444444444444444
canid,111,0.4444444444444444
canid,112,0.4444444444444444
canid,116,0.4444444444444444
canid,127,0.4444444444444444
canid,130,0.4444444444444444
canid,138,0.4444444444444444
canid,140,0.8888888888888888
canid,141,1.7777777777777777
canid,143,0.4444444444444444
canid,145,0.4444444444444444
canid,149,0.8888888888888888
canid,152,0.4444444444444444
canid,153,0.4444444444444444
canid,155,0.4444444444444444
canid,157,0.4444444444444444
canid,166,0.4444444444444444
canid,172,0.4444444444444444
canid,175,7.555555555555555
canid,179,0.4444444444444444
canid,184,0.8888888888888888
canid,185,4.0
canid,192,0.4444444444444444
canid,212,0.8888888888888888
canid,213,0.4444444444444444
canid,217,0.4444444444444444
canid,230,0.4444444444444444
canid,236,0.4444444444444444
canid,257,0.8888888888888888
canid,258,0.4444444444444444
canid,268,4.0
canid,271,0.4444444444444444
canid,272,0.4444444444444444
canid,279,0.4444444444444444
canid,289,0.4444444444444444
canid,293,0.4444444444444444
canid,304,0.4444444444444444
canid,312,4.888888888888889
canid,320,0.4444444444444444
canid,324,0.4444444444444444
canid,330,1.7777777777777777
canid,343,0.4444444444444444
canid,346,1.3333333333333335
canid,356,0.4444444444444444
canid,368,0.4444444444444444
canid,370,0.4444444444444444
canid,378,0.4444444444444444
canid,386,0.4444444444444444
canid,394,3.111111111111111
canid,403,0.8888888888888888
canid,411,0.4444444444444444
canid,413,1.3333333333333335
