AnimalGroup,ClusterID,Percentage
bird,1,0.5714285714285714
bird,2,1.0285714285714285
bird,3,0.2285714285714286
bird,4,5.371428571428572
bird,5,0.4571428571428572
bird,6,0.1142857142857143
bird,7,2.2857142857142856
bird,8,0.34285714285714286
bird,9,1.8285714285714287
bird,10,0.2285714285714286
bird,12,0.1142857142857143
bird,13,0.6857142857142857
bird,14,0.5714285714285714
bird,15,0.1142857142857143
bird,17,5.257142857142857
bird,18,0.8
bird,19,0.34285714285714286
bird,21,0.34285714285714286
bird,22,0.1142857142857143
bird,23,0.2285714285714286
bird,24,0.4571428571428572
bird,25,0.6857142857142857
bird,27,0.5714285714285714
bird,28,0.1142857142857143
bird,29,0.1142857142857143
bird,30,0.34285714285714286
bird,31,0.1142857142857143
bird,32,0.8
bird,33,0.1142857142857143
bird,34,0.4571428571428572
bird,35,1.3714285714285714
bird,36,0.2285714285714286
bird,37,0.2285714285714286
bird,38,0.6857142857142857
bird,39,0.34285714285714286
bird,40,0.1142857142857143
bird,41,0.6857142857142857
bird,42,0.5714285714285714
bird,43,1.4857142857142858
bird,44,0.2285714285714286
bird,46,0.34285714285714286
bird,47,0.2285714285714286
bird,49,1.1428571428571428
bird,51,1.0285714285714285
bird,53,0.34285714285714286
bird,55,0.1142857142857143
bird,56,1.3714285714285714
bird,57,0.2285714285714286
bird,58,0.1142857142857143
bird,59,0.2285714285714286
bird,60,0.9142857142857144
bird,62,0.34285714285714286
bird,63,0.1142857142857143
bird,65,0.2285714285714286
bird,66,0.2285714285714286
bird,67,0.1142857142857143
bird,68,0.2285714285714286
bird,69,0.34285714285714286
bird,70,0.34285714285714286
bird,71,0.1142857142857143
bird,73,0.1142857142857143
bird,74,0.1142857142857143
bird,75,0.1142857142857143
bird,76,0.4571428571428572
bird,77,0.1142857142857143
bird,78,0.2285714285714286
bird,79,0.2285714285714286
bird,80,0.34285714285714286
bird,81,0.1142857142857143
bird,82,0.1142857142857143
bird,85,0.1142857142857143
bird,86,3.085714285714286
bird,87,1.0285714285714285
bird,88,0.1142857142857143
bird,89,0.2285714285714286
bird,90,0.2285714285714286
bird,91,0.2285714285714286
bird,92,0.34285714285714286
bird,94,0.34285714285714286
bird,95,2.5142857142857142
bird,96,0.1142857142857143
bird,97,0.1142857142857143
bird,99,0.2285714285714286
bird,100,0.1142857142857143
bird,101,0.1142857142857143
bird,102,1.6
bird,103,0.1142857142857143
bird,104,0.4571428571428572
bird,105,0.4571428571428572
bird,106,0.1142857142857143
bird,107,0.6857142857142857
bird,109,0.2285714285714286
bird,110,0.34285714285714286
bird,111,0.1142857142857143
bird,112,0.1142857142857143
bird,115,0.1142857142857143
bird,116,0.1142857142857143
bird,121,0.1142857142857143
bird,122,0.1142857142857143
bird,127,0.1142857142857143
bird,128,0.2285714285714286
bird,130,0.1142857142857143
bird,132,0.34285714285714286
bird,133,0.1142857142857143
bird,134,0.1142857142857143
bird,138,0.2285714285714286
bird,140,0.34285714285714286
bird,141,0.1142857142857143
bird,142,0.34285714285714286
bird,143,0.1142857142857143
bird,144,0.2285714285714286
bird,145,0.1142857142857143
bird,146,0.1142857142857143
bird,148,0.34285714285714286
bird,149,0.34285714285714286
bird,150,0.2285714285714286
bird,151,0.1142857142857143
bird,152,0.4571428571428572
bird,153,0.1142857142857143
bird,155,0.34285714285714286
bird,156,0.1142857142857143
bird,157,0.1142857142857143
bird,158,0.1142857142857143
bird,160,0.4571428571428572
bird,163,0.1142857142857143
bird,164,0.1142857142857143
bird,166,0.34285714285714286
